Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740310111605,3228,3228,3228,3228,3228,3228,3228,3228,49.5411491394043,50.40069580078125,53.40458679199219,50.88849639892578,52.323638916015625,49.4083366394043,49.92734146118164,52.06743621826172,49.20228576660156,50.95429229736328,100.0,100.0,100.0,,100.0,0.0,66.66667175292969,0.0,8.955138206481934,17179869184,15032385536,13267042304,13508280320
204,1740310111605,3228,3228,3228,3228,3228,3228,3228,3228,49.5411491394043,50.40069580078125,53.40458679199219,50.88849639892578,52.323638916015625,49.4083366394043,49.92734146118164,52.06743621826172,49.20228576660156,50.95429229736328,100.0,,100.0,100.0,0.0,100.0,,,8.955138206481934,17179869184,15032385536,13268566016,13508280320
204,1740310111810,3228,3228,3228,3228,3228,3228,3228,3228,49.5411491394043,50.40069580078125,53.40458679199219,50.88849639892578,52.323638916015625,49.4083366394043,49.92734146118164,52.06743621826172,49.20228576660156,50.95429229736328,100.0,100.0,65.0,57.142860412597656,50.0,23.809524536132812,9.523809432983398,4.761904716491699,8.955138206481934,17179869184,15032385536,13287063552,13508280320
204,1740310112015,3228,3228,3228,3228,3228,3228,3228,3228,49.5411491394043,50.40069580078125,53.40458679199219,50.88849639892578,52.323638916015625,49.4083366394043,49.92734146118164,52.06743621826172,49.20228576660156,50.95429229736328,90.0,90.0,45.0,42.105262756347656,30.000001907348633,30.000001907348633,28.571430206298828,14.285715103149414,10.02805995941162,17179869184,15032385536,13299023872,13508280320
202,1740310112220,3228,3228,3228,3228,3228,3228,3228,3228,49.5411491394043,50.40069580078125,53.40458679199219,50.88849639892578,52.323638916015625,49.4083366394043,49.92734146118164,52.06743621826172,49.20228576660156,50.95429229736328,100.0,100.0,25.0,47.619049072265625,13.636363983154297,0.0,0.0,0.0,10.02805995941162,17179869184,15032385536,13316489216,13508280320
201,1740310112422,3228,3228,3228,3228,3228,3228,3228,3228,50.77156448364258,51.20905685424805,55.43685150146485,53.22344207763672,53.69928741455078,50.29338836669922,50.92594909667969,53.27886962890625,50.05708312988281,51.53485870361328,100.0,100.0,76.19047546386719,70.0,60.000003814697266,47.619049072265625,47.619049072265625,42.85714340209961,10.02805995941162,17179869184,15032385536,13372637184,13508280320
203,1740310112624,3228,3228,3228,3228,3228,3228,3228,3228,50.77156448364258,51.20905685424805,55.43685150146485,53.22344207763672,53.69928741455078,50.29338836669922,50.92594909667969,53.27886962890625,50.05708312988281,51.53485870361328,100.0,100.0,100.0,95.23809814453124,100.0,100.0,95.0,94.73684692382812,10.02805995941162,17179869184,15032385536,13372637184,13499891712
204,1740310112828,3228,3228,3228,3228,3228,3228,3228,3228,50.77156448364258,51.20905685424805,55.43685150146485,53.22344207763672,53.69928741455078,50.29338836669922,50.92594909667969,53.27886962890625,50.05708312988281,51.53485870361328,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.02805995941162,17179869184,15032385536,13372637184,13499891712
203,1740310113033,3228,3228,3228,3228,3228,3228,3228,3228,50.77156448364258,51.20905685424805,55.43685150146485,53.22344207763672,53.69928741455078,50.29338836669922,50.92594909667969,53.27886962890625,50.05708312988281,51.53485870361328,100.0,100.0,80.0,71.42857360839844,59.09090805053711,71.42857360839844,52.38095474243164,40.0,14.78490924835205,17179869184,15032385536,13784662016,13499891712
203,1740310113237,3228,3228,3228,3228,3228,3228,3228,3228,50.77156448364258,51.20905685424805,55.43685150146485,53.22344207763672,53.69928741455078,50.29338836669922,50.92594909667969,53.27886962890625,50.05708312988281,51.53485870361328,100.0,100.0,75.0,75.0,75.0,75.0,63.15789031982422,52.38095474243164,14.78490924835205,17179869184,15032385536,13846249472,13474725888
203,1740310113441,3228,3228,3228,3228,3228,3228,3228,3228,52.80190658569336,54.24631881713867,57.77110290527344,56.09796524047851,56.501800537109375,52.41880416870117,56.27812576293945,58.83908462524414,54.4633903503418,54.33204650878906,95.23809814453124,95.4545440673828,85.71428680419922,85.0,75.0,75.0,80.95238494873047,57.142860412597656,14.78490924835205,17179869184,15032385536,13846249472,13504937984
200,1740310113645,3228,3228,3228,3228,3228,3228,3228,3228,52.80190658569336,54.24631881713867,57.77110290527344,56.09796524047851,56.501800537109375,52.41880416870117,56.27812576293945,58.83908462524414,54.4633903503418,54.33204650878906,100.0,100.0,68.42105102539062,65.0,47.36842346191406,38.095237731933594,15.789472579956056,10.526315689086914,14.78490924835205,17179869184,15032385536,13846249472,13510836224
203,1740310113845,3228,3228,3228,3228,3228,3228,3228,3228,52.80190658569336,54.24631881713867,57.77110290527344,56.09796524047851,56.501800537109375,52.41880416870117,56.27812576293945,58.83908462524414,54.4633903503418,54.33204650878906,100.0,100.0,60.000003814697266,75.0,45.0,31.57894515991211,14.285715103149414,5.0,14.78490924835205,17179869184,15032385536,13846249472,13502447616
204,1740310114049,3228,3228,3228,3228,3228,3228,3228,3228,52.80190658569336,54.24631881713867,57.77110290527344,56.09796524047851,56.501800537109375,52.41880416870117,56.27812576293945,58.83908462524414,54.4633903503418,54.33204650878906,100.0,100.0,75.0,70.0,70.0,65.0,50.0,38.095237731933594,20.07898712158203,17179869184,15032385536,13845348352,13485670400
205,1740310114253,3228,3228,3228,3228,3228,3228,3228,3228,52.80190658569336,54.24631881713867,57.77110290527344,56.09796524047851,56.501800537109375,52.41880416870117,56.27812576293945,58.83908462524414,54.4633903503418,54.33204650878906,100.0,100.0,65.0,80.0,66.66667175292969,57.142860412597656,47.619049072265625,20.0,20.07898712158203,17179869184,15032385536,13875904512,13460504576
204,1740310114458,3228,3228,3228,3228,3228,3228,3228,3228,52.508811950683594,53.30130386352539,57.137794494628906,55.467063903808594,56.120452880859375,52.199859619140625,54.277076721191406,56.49660110473633,52.33885955810547,53.45662689208984,100.0,100.0,85.71428680419922,85.71428680419922,75.0,85.0,55.0,40.0,20.07898712158203,17179869184,15032385536,13914030080,13455130624
204,1740310114664,3228,3228,3228,3228,3228,3228,3228,3228,52.508811950683594,53.30130386352539,57.137794494628906,55.467063903808594,56.120452880859375,52.199859619140625,54.277076721191406,56.49660110473633,52.33885955810547,53.45662689208984,100.0,95.23809814453124,85.0,80.0,75.0,71.42857360839844,63.15789031982422,47.619049072265625,20.07898712158203,17179869184,15032385536,13901627392,13525778432
